station id,latitude,longitude,station name,incoming trips,outgoing trips,all trips,kind
72,40.76727216,-73.99392888,W 52 St & 11 Ave,133,148,281,active
79,40.71911552,-74.00666661,Franklin St & W Broadway,113,115,228,active
82,40.71117416,-74.00016545,St James Pl & Pearl St,53,46,99,active
83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,43,51,94,active
116,40.74177603,-74.00149746,W 17 St & 8 Ave,265,267,532,active
119,40.69608941,-73.97803415,Park Ave & St Edwards St,13,16,29,active
120,40.68676793,-73.95928168,Lexington Ave & Classon Ave,24,16,40,active
127,40.73172428,-74.00674436,Barrow St & Hudson St,295,294,589,active
128,40.72710258,-74.00297088,MacDougal St & Prince St,277,279,556,active
137,40.761628,-73.972924,E 56 St & Madison Ave,94,94,188,active
143,40.69239502,-73.99337909,Clinton St & Joralemon St,48,42,90,active
144,40.69839895,-73.98068914,Nassau St & Navy St,17,21,38,active
146,40.71625008,-74.0091059,Hudson St & Reade St,106,107,213,active
147,40.71542197,-74.01121978,Greenwich St & Warren St,214,217,431,active
150,40.7208736,-73.98085795,E 2 St & Avenue C,145,150,295,active
151,40.72210378668603,-73.99724900722505,Cleveland Pl & Spring St,322,323,645,active
152,40.71473993,-74.00910627,Warren St & Church St,122,124,246,active
153,40.752062306999996,-73.9816324043,E 40 St & 5 Ave,243,241,484,active
157,40.69089272,-73.99612349,Henry St & Atlantic Ave,48,50,98,active
161,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,200,216,416,active
164,40.75323098,-73.97032517,E 47 St & 2 Ave,129,131,260,active
167,40.7489006,-73.97604882,E 39 St & 3 Ave,209,214,423,active
168,40.73971301,-73.99456405,W 18 St & 6 Ave,310,312,622,active
173,40.76068327096592,-73.98452728986742,Broadway & W 49 St,257,254,511,active
174,40.7381765,-73.97738662,E 25 St & 1 Ave,109,113,222,active
195,40.70905623,-74.01043382,Liberty St & Broadway,162,164,326,active
212,40.74334935,-74.00681753,W 16 St & The High Line,229,227,456,active
216,40.70037867,-73.99548059,Columbia Heights & Cranberry St,28,25,53,active
217,40.70277159,-73.99383605,Old Fulton St,66,73,139,active
223,40.73781509,-73.99994661,W 13 St & 7 Ave,168,171,339,active
224,40.71146364,-74.00552427,Spruce St & Nassau St,70,71,141,active
225,40.74195138,-74.00803013,W 14 St & The High Line,174,188,362,active
228,40.7546011026,-73.971878855,E 48 St & 3 Ave,150,146,296,active
229,40.72743423,-73.99379025,Great Jones St,308,308,616,active
232,40.69597683,-73.99014892,Cadman Plaza E & Tillary St,55,46,101,active
233,40.69475701363877,-73.99052739143372,Cadman Plaza W & Pierrepont St,0,0,0,inactive
236,40.7284186,-73.98713956,St Marks Pl & 2 Ave,178,190,368,active
237,40.73047309,-73.98672378,E 11 St & 2 Ave,184,189,373,active
238,40.7361967,-74.00859207,Bank St & Washington St,159,163,322,active
239,40.69196566,-73.9813018,Willoughby St & Fleet St,55,56,111,active
241,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave,48,39,87,active
242,40.697787,-73.973736,Carlton Ave & Flushing Ave,46,46,92,active
243,40.688226,-73.979382,Fulton St & Rockwell Pl,30,50,80,active
244,40.69196035,-73.96536851,Willoughby Ave & Hall St,39,35,74,active
245,40.69327018,-73.97703874,Myrtle Ave & St Edwards St,21,22,43,active
247,40.73535398,-74.00483091,Perry St & Bleecker St,108,106,214,active
248,40.72185379,-74.00771779,Laight St & Hudson St,51,52,103,active
249,40.71870987,-74.0090009,Harrison St & Hudson St,79,80,159,active
250,40.72456089,-73.99565293,Lafayette St & Jersey St,325,323,648,active
251,40.72317958,-73.99480012,Mott St & Prince St,213,219,432,active
252,40.73226398,-73.99852205,MacDougal St & Washington Sq,143,124,267,active
253,40.73543934,-73.99453948,W 13 St & 5 Ave,134,131,265,active
254,40.73532427,-73.99800419,W 11 St & 6 Ave,118,111,229,active
257,40.71939226,-74.00247214,Lispenard St & Broadway,145,138,283,active
258,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave,51,40,91,active
259,40.70122128,-74.01234218,South St & Whitehall St,108,110,218,active
260,40.70365182,-74.01167797,Broad St & Bridge St,84,92,176,active
261,40.69474881,-73.98362464,Johnson St & Gold St,62,61,123,active
262,40.6917823,-73.97372990000002,Washington Park,40,33,73,active
263,40.71729000000001,-73.996375,Elizabeth St & Hester St,149,140,289,active
264,40.70706456,-74.00731853,Maiden Ln & Pearl St,100,98,198,active
265,40.72229346,-73.99147535,Stanton St & Chrystie St,167,178,345,active
266,40.72368361,-73.97574813,Avenue D & E 8 St,43,54,97,active
267,40.75097711,-73.98765428,Broadway & W 36 St,96,93,189,active
268,40.71910537,-73.99973337,Howard St & Centre St,154,154,308,active
270,40.69308257,-73.97178913,Adelphi St & Myrtle Ave,63,58,121,active
274,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl,43,39,82,active
275,40.68650065,-73.96563307,Washington Ave & Greene Ave,34,24,58,active
276,40.71748752,-74.0104554,Duane St & Greenwich St,88,84,172,active
278,40.69766564,-73.98476437,Concord St & Bridge St,32,23,55,active
279,40.707873,-74.00166999999998,Peck Slip & Front St,155,161,316,active
280,40.73331967,-73.99510132,E 10 St & 5 Ave,128,143,271,active
281,40.7643971,-73.97371465,Grand Army Plaza & Central Park S,187,187,374,active
282,40.7076449441757,-73.96841526031494,Kent Ave & S 11 St,59,56,115,active
284,40.7390169121,-74.0026376103,Greenwich Ave & 8 Ave,383,378,761,active
285,40.73454567,-73.99074142,Broadway & E 14 St,324,327,651,active
289,40.6845683,-73.95881081,Monroe St & Classon Ave,14,10,24,active
291,40.713126,-73.984844,Madison St & Montgomery St,0,0,0,inactive
293,40.73028666,-73.9907647,Lafayette St & E 8 St,435,440,875,active
295,40.71406667,-73.99293911,Pike St & E Broadway,92,79,171,active
296,40.71413089,-73.99704679999998,Division St & Bowery,86,82,168,active
297,40.734232,-73.986923,E 15 St & 3 Ave,205,201,406,active
298,40.68683208,-73.9796772,3 Ave & Schermerhorn St,17,22,39,active
300,40.728145,-73.990214,Shevchenko Pl & E 7 St,166,159,325,active
301,40.72217444,-73.98368779,E 2 St & Avenue B,166,162,328,active
302,40.72082834,-73.97793172,Avenue D & E 3 St,43,42,85,active
303,40.72362738,-73.99949601,Mercer St & Spring St,129,147,276,active
304,40.70463334,-74.01361706,Broadway & Battery Pl,238,255,493,active
305,40.76095756,-73.96724467,E 58 St & 3 Ave,188,188,376,active
306,40.70823502,-74.00530063,Cliff St & Fulton St,101,105,206,active
307,40.71427487,-73.98990025,Canal St & Rutgers St,151,152,303,active
308,40.71307916,-73.99851193,St James Pl & Oliver St,65,59,124,active
309,40.7149787,-74.013012,Murray St & West St,149,149,298,active
310,40.68926942,-73.98912867,State St & Smith St,75,84,159,active
311,40.7172274,-73.98802084,Norfolk St & Broome St,126,133,259,active
312,40.722055,-73.989111,Allen St & Stanton St,146,148,294,active
313,40.69610226,-73.96751037,Washington Ave & Park Ave,49,52,101,active
