station id,latitude,longitude,station name,incoming trips,outgoing trips,all trips,kind,bikes outbound,outbound trips,bikes inbound,inbound trips,delta bikes,delta trips
72,40.76727216,-73.99392888,W 52 St & 11 Ave,133,148,281,active,3,25,13,128,10,103
79,40.71911552,-74.00666661,Franklin St & W Broadway,113,115,228,active,2,29,10,85,8,56
82,40.71117416,-74.00016545,St James Pl & Pearl St,53,46,99,active,16,125,9,41,-7,-84
83,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,43,51,94,active,25,111,12,38,-13,-73
116,40.74177603,-74.00149746,W 17 St & 8 Ave,265,267,532,active,8,104,14,150,6,46
119,40.69608941,-73.97803415,Park Ave & St Edwards St,13,16,29,active,8,59,3,14,-5,-45
120,40.68676793,-73.95928168,Lexington Ave & Classon Ave,24,16,40,active,15,111,5,33,-10,-78
127,40.73172428,-74.00674436,Barrow St & Hudson St,295,294,589,active,26,236,32,347,6,111
128,40.72710258,-74.00297088,MacDougal St & Prince St,277,279,556,active,6,73,23,264,17,191
137,40.761628,-73.972924,E 56 St & Madison Ave,94,94,188,active,0,0,10,76,10,76
143,40.69239502,-73.99337909,Clinton St & Joralemon St,48,42,90,active,21,125,13,85,-8,-40
144,40.69839895,-73.98068914,Nassau St & Navy St,17,21,38,active,3,11,1,1,-2,-10
146,40.71625008,-74.0091059,Hudson St & Reade St,106,107,213,active,1,19,9,109,8,90
147,40.71542197,-74.01121978,Greenwich St & Warren St,214,217,431,active,1,13,20,149,19,136
150,40.720873600000004,-73.98085795,E 2 St & Avenue C,145,150,295,active,25,282,11,122,-14,-160
151,40.72210378668603,-73.99724900722505,Cleveland Pl & Spring St,322,323,645,active,3,23,36,299,33,276
152,40.71473993,-74.00910627,Warren St & Church St,122,124,246,active,3,31,11,73,8,42
153,40.752062306999996,-73.9816324043,E 40 St & 5 Ave,243,241,484,active,0,0,20,138,20,138
157,40.69089272,-73.99612349,Henry St & Atlantic Ave,48,50,98,active,20,134,13,74,-7,-60
161,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,200,216,416,active,10,114,23,241,13,127
164,40.75323098,-73.97032517,E 47 St & 2 Ave,129,131,260,active,1,15,11,89,10,74
167,40.7489006,-73.97604882,E 39 St & 3 Ave,209,214,423,active,0,0,13,134,13,134
168,40.73971301,-73.99456405,W 18 St & 6 Ave,310,312,622,active,2,38,27,277,25,239
173,40.76068327096592,-73.98452728986742,Broadway & W 49 St,257,254,511,active,0,0,21,198,21,198
174,40.7381765,-73.97738662,E 25 St & 1 Ave,109,113,222,active,14,156,7,89,-7,-67
195,40.70905623,-74.01043382,Liberty St & Broadway,162,164,326,active,3,20,19,164,16,144
212,40.74334935,-74.00681753,W 16 St & The High Line,229,227,456,active,4,57,19,175,15,118
216,40.70037867,-73.99548059,Columbia Heights & Cranberry St,28,25,53,active,8,67,11,86,3,19
217,40.70277159,-73.99383605,Old Fulton St,66,73,139,active,16,92,20,115,4,23
223,40.73781509,-73.99994661,W 13 St & 7 Ave,168,171,339,active,5,51,27,293,22,242
224,40.71146364,-74.00552427,Spruce St & Nassau St,70,71,141,active,0,0,4,63,4,63
225,40.74195138,-74.00803013,W 14 St & The High Line,174,188,362,active,0,0,26,218,26,218
228,40.7546011026,-73.971878855,E 48 St & 3 Ave,150,146,296,active,5,54,13,92,8,38
229,40.72743423,-73.99379025,Great Jones St,308,308,616,active,2,38,32,316,30,278
232,40.69597683,-73.99014892,Cadman Plaza E & Tillary St,55,46,101,active,12,52,7,37,-5,-15
233,40.69475701363877,-73.99052739143372,Cadman Plaza W & Pierrepont St,0,0,0,inactive,0,0,0,0,0,0
236,40.7284186,-73.98713956,St Marks Pl & 2 Ave,178,190,368,active,27,265,24,208,-3,-57
237,40.73047309,-73.98672378,E 11 St & 2 Ave,184,189,373,active,29,338,29,300,0,-38
238,40.7361967,-74.00859207,Bank St & Washington St,159,163,322,active,29,213,13,172,-16,-41
239,40.69196566,-73.9813018,Willoughby St & Fleet St,55,56,111,active,3,43,23,95,20,52
241,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave,48,39,87,active,23,125,11,46,-12,-79
242,40.697787,-73.973736,Carlton Ave & Flushing Ave,46,46,92,active,6,58,10,93,4,35
243,40.688226,-73.979382,Fulton St & Rockwell Pl,30,50,80,active,0,0,12,60,12,60
244,40.69196035,-73.96536851,Willoughby Ave & Hall St,39,35,74,active,28,144,8,60,-20,-84
245,40.69327018,-73.97703874,Myrtle Ave & St Edwards St,21,22,43,active,9,64,3,17,-6,-47
247,40.73535398,-74.00483091,Perry St & Bleecker St,108,106,214,active,15,134,13,97,-2,-37
248,40.72185379,-74.00771779,Laight St & Hudson St,51,52,103,active,1,8,6,50,5,42
249,40.71870987,-74.0090009,Harrison St & Hudson St,79,80,159,active,0,0,8,58,8,58
250,40.72456089,-73.99565293,Lafayette St & Jersey St,325,323,648,active,3,34,34,342,31,308
251,40.72317958,-73.99480012,Mott St & Prince St,213,219,432,active,8,86,31,414,23,328
252,40.73226398,-73.99852205,MacDougal St & Washington Sq,143,124,267,active,28,229,19,183,-9,-46
253,40.73543934,-73.99453948,W 13 St & 5 Ave,134,131,265,active,3,25,11,91,8,66
254,40.73532427,-73.99800419,W 11 St & 6 Ave,118,111,229,active,8,87,10,117,2,30
257,40.71939226,-74.00247214,Lispenard St & Broadway,145,138,283,active,7,62,13,95,6,33
258,40.68940747,-73.96885458,DeKalb Ave & Vanderbilt Ave,51,40,91,active,26,140,14,79,-12,-61
259,40.70122128,-74.01234218,South St & Whitehall St,108,110,218,active,0,0,19,139,19,139
260,40.70365182,-74.01167797,Broad St & Bridge St,84,92,176,active,0,0,14,96,14,96
261,40.69474881,-73.98362464,Johnson St & Gold St,62,61,123,active,15,142,8,65,-7,-77
262,40.6917823,-73.97372990000002,Washington Park,40,33,73,active,25,134,6,14,-19,-120
263,40.71729000000001,-73.996375,Elizabeth St & Hester St,149,140,289,active,9,136,17,243,8,107
264,40.70706456,-74.00731853,Maiden Ln & Pearl St,100,98,198,active,3,46,14,103,11,57
265,40.72229346,-73.99147535,Stanton St & Chrystie St,167,178,345,active,19,156,23,245,4,89
266,40.72368361,-73.97574813,Avenue D & E 8 St,43,54,97,active,13,187,2,30,-11,-157
267,40.75097711,-73.98765428,Broadway & W 36 St,96,93,189,active,3,27,4,38,1,11
268,40.71910537,-73.99973337,Howard St & Centre St,154,154,308,active,3,34,12,121,9,87
270,40.69308257,-73.97178913,Adelphi St & Myrtle Ave,63,58,121,active,28,90,12,26,-16,-64
274,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl,43,39,82,active,14,34,18,71,4,37
275,40.68650065,-73.96563307,Washington Ave & Greene Ave,34,24,58,active,17,106,14,91,-3,-15
276,40.71748752,-74.0104554,Duane St & Greenwich St,88,84,172,active,4,52,4,28,0,-24
278,40.69766564,-73.98476437,Concord St & Bridge St,32,23,55,active,17,114,6,28,-11,-86
279,40.707873,-74.00166999999998,Peck Slip & Front St,155,161,316,active,1,5,27,251,26,246
280,40.73331967,-73.99510132,E 10 St & 5 Ave,128,143,271,active,1,5,14,151,13,146
281,40.764397100000004,-73.97371465,Grand Army Plaza & Central Park S,187,187,374,active,0,0,10,87,10,87
282,40.7076449441757,-73.96841526031494,Kent Ave & S 11 St,59,56,115,active,20,123,15,113,-5,-10
284,40.7390169121,-74.0026376103,Greenwich Ave & 8 Ave,383,378,761,active,37,346,33,330,-4,-16
285,40.73454567,-73.99074142,Broadway & E 14 St,324,327,651,active,1,17,32,298,31,281
289,40.684568299999995,-73.95881081,Monroe St & Classon Ave,14,10,24,active,10,37,3,23,-7,-14
291,40.713126,-73.984844,Madison St & Montgomery St,0,0,0,inactive,0,0,0,0,0,0
293,40.73028666,-73.9907647,Lafayette St & E 8 St,435,440,875,active,1,21,47,462,46,441
295,40.71406667,-73.99293911,Pike St & E Broadway,92,79,171,active,22,174,17,161,-5,-13
296,40.71413089,-73.99704679999998,Division St & Bowery,86,82,168,active,5,73,11,73,6,0
297,40.734232,-73.986923,E 15 St & 3 Ave,205,201,406,active,11,115,22,195,11,80
298,40.68683208,-73.9796772,3 Ave & Schermerhorn St,17,22,39,active,4,7,8,52,4,45
300,40.728145,-73.990214,Shevchenko Pl & E 7 St,166,159,325,active,43,415,25,265,-18,-150
301,40.72217444,-73.98368779,E 2 St & Avenue B,166,162,328,active,37,313,16,163,-21,-150
302,40.72082834,-73.97793172,Avenue D & E 3 St,43,42,85,active,23,239,2,13,-21,-226
303,40.72362738,-73.99949601,Mercer St & Spring St,129,147,276,active,0,0,15,121,15,121
304,40.70463334,-74.01361706,Broadway & Battery Pl,238,255,493,active,0,0,25,200,25,200
305,40.76095756,-73.96724467,E 58 St & 3 Ave,188,188,376,active,0,0,7,39,7,39
306,40.70823502,-74.00530063,Cliff St & Fulton St,101,105,206,active,4,52,17,173,13,121
307,40.71427487,-73.98990025,Canal St & Rutgers St,151,152,303,active,28,272,19,233,-9,-39
308,40.71307916,-73.99851193,St James Pl & Oliver St,65,59,124,active,7,53,9,96,2,43
309,40.7149787,-74.013012,Murray St & West St,149,149,298,active,0,0,8,69,8,69
310,40.68926942,-73.98912867,State St & Smith St,75,84,159,active,17,91,18,166,1,75
311,40.7172274,-73.98802084,Norfolk St & Broome St,126,133,259,active,24,225,23,221,-1,-4
312,40.722055,-73.989111,Allen St & Stanton St,146,148,294,active,25,181,17,286,-8,105
313,40.69610226,-73.96751037,Washington Ave & Park Ave,49,52,101,active,14,99,10,65,-4,-34
315,40.70355377,-74.00670227,South St & Gouverneur Ln,130,129,259,active,1,9,16,140,15,131
316,40.70955958,-74.00653609,Fulton St & William St,98,102,200,active,0,0,5,27,5,27
317,40.72453734,-73.98185424,E 6 St & Avenue B,128,129,257,active,26,210,14,125,-12,-85
319,40.711065999999995,-74.009447,Fulton St & Broadway,82,83,165,active,1,24,10,57,9,33
320,40.717571,-74.005549,Leonard St & Church St,120,119,239,active,2,27,11,103,9,76
321,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl,54,50,104,active,6,24,11,49,5,25
322,40.696191999999996,-73.991218,Clinton St & Tillary St,59,63,122,active,4,15,15,106,11,91
323,40.69236178,-73.98631746,Lawrence St & Willoughby St,93,88,181,active,2,21,21,99,19,78
324,40.689888,-73.981013,DeKalb Ave & Hudson Ave,71,95,166,active,2,9,33,145,31,136
325,40.73624527,-73.98473765,E 19 St & 3 Ave,160,158,318,active,8,58,17,158,9,100
326,40.72953837,-73.98426726,E 11 St & 1 Ave,175,175,350,active,29,304,11,104,-18,-200
327,40.715337899999994,-74.01658354,Vesey Pl & River Terrace,293,294,587,active,3,28,14,118,11,90
328,40.72405549,-74.00965965,Watts St & Greenwich St,161,161,322,active,9,102,19,227,10,125
329,40.72043411,-74.01020609,Greenwich St & N Moore St,191,195,386,active,2,23,10,155,8,132
330,40.71450451,-74.00562789,Reade St & Broadway,92,97,189,active,0,0,8,88,8,88
331,40.71173107,-73.99193043,Pike St & Monroe St,52,50,102,active,24,252,3,26,-21,-226
332,40.71219906,-73.97948148,Cherry St,57,51,108,active,23,219,7,59,-16,-160
334,40.74238787,-73.99726235,W 20 St & 7 Ave,191,200,391,active,3,29,15,141,12,112
335,40.72903917,-73.99404649,Washington Pl & Broadway,156,156,312,active,0,0,11,100,11,100
336,40.73047747,-73.99906065,Sullivan St & Washington Sq,142,159,301,active,12,90,22,211,10,121
337,40.70379920000001,-74.00838676,Old Slip & Front St,95,96,191,active,0,0,9,31,9,31
339,40.72580614,-73.97422494,Avenue D & E 12 St,39,39,78,active,24,244,1,6,-23,-238
340,40.71269042,-73.98776323,Madison St & Clinton St,92,93,185,active,26,265,8,67,-18,-198
341,40.71782143,-73.97628939,Stanton St & Mangin St,63,68,131,active,12,87,4,23,-8,-64
342,40.71739973,-73.98016555,Columbia St & Rivington St,64,64,128,active,29,287,3,26,-26,-261
343,40.69794,-73.96986848,Clinton Ave & Flushing Ave,24,28,52,active,9,40,5,7,-4,-33
344,40.6851443,-73.95380904,Monroe St & Bedford Ave,25,23,48,active,10,82,7,46,-3,-36
345,40.73649403,-73.99704374,W 13 St & 6 Ave,180,178,358,active,4,57,10,117,6,60
346,40.73652889,-74.00618026,Bank St & Hudson St,156,154,310,active,23,260,10,120,-13,-140
347,40.728846000000004,-74.00859100000002,Greenwich St & W Houston St,229,227,456,active,5,50,24,235,19,185
348,40.72490985,-74.00154702,W Broadway & Spring St,221,226,447,active,1,11,19,152,18,141
349,40.71850211,-73.98329859,Rivington St & Ridge St,69,56,125,active,36,320,5,42,-31,-278
350,40.71559509,-73.9870295,Clinton St & Grand St,86,87,173,active,27,237,11,101,-16,-136
351,40.70530954,-74.00612572,Front St & Maiden Ln,93,92,185,active,5,62,10,80,5,18
352,40.76340613,-73.97722479,W 56 St & 6 Ave,173,176,349,active,1,6,9,83,8,77
