Index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
31169,327.0,2016-03-10 09:37:23,2016-03-10 09:42:51,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,23428.0,Subscriber,1987.0,1.0
57709,238.0,2016-03-09 17:01:34,2016-03-09 17:05:33,173.0,Broadway & W 49 St,40.76068327096592,-73.98452728986742,480.0,W 53 St & 10 Ave,40.76669671,-73.99061728,23428.0,Subscriber,1991.0,1.0
98570,329.0,2016-03-08 14:58:21,2016-03-08 15:03:50,247.0,Perry St & Bleecker St,40.73535398,-74.00483091,345.0,W 13 St & 6 Ave,40.73649403,-73.99704374,23428.0,Subscriber,1961.0,1.0
147405,881.0,2016-03-10 13:34:21,2016-03-10 13:49:02,281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,529.0,W 42 St & 8 Ave,40.75756989999999,-73.99098507,23428.0,Subscriber,1964.0,1.0
152130,701.0,2016-03-08 17:05:34,2016-03-08 17:17:16,284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,463.0,9 Ave & W 16 St,40.74206539,-74.00443172,23428.0,Subscriber,1978.0,1.0
166156,537.0,2016-03-10 10:02:21,2016-03-10 10:11:19,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,23428.0,Subscriber,1984.0,2.0
175671,984.0,2016-03-08 18:43:56,2016-03-08 19:00:20,297.0,E 15 St & 3 Ave,40.734232,-73.986923,361.0,Allen St & Hester St,40.71605866,-73.99190759,23428.0,Subscriber,1971.0,2.0
179682,931.0,2016-03-10 16:53:53,2016-03-10 17:09:25,300.0,Shevchenko Pl & E 7 St,40.728145,-73.990214,328.0,Watts St & Greenwich St,40.72405549,-74.00965965,23428.0,Subscriber,1973.0,1.0
234813,908.0,2016-03-10 17:11:28,2016-03-10 17:26:37,328.0,Watts St & Greenwich St,40.72405549,-74.00965965,3230.0,Penn Station Valet,40.751283596962296,-73.99692445993422,23428.0,Subscriber,1978.0,1.0
259831,195.0,2016-03-08 15:20:46,2016-03-08 15:24:01,345.0,W 13 St & 6 Ave,40.73649403,-73.99704374,284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,23428.0,Subscriber,1961.0,1.0
