Index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
124633,218.0,2016-03-10 08:02:58,2016-03-10 08:06:36,262.0,Washington Park,40.6917823,-73.97372990000001,243.0,Fulton St & Rockwell Pl,40.688226,-73.979382,17609.0,Subscriber,1985.0,1.0
139724,352.0,2016-03-11 06:21:00,2016-03-11 06:26:53,275.0,Washington Ave & Greene Ave,40.68650065,-73.96563307,3222.0,Hanson Pl & St Felix St,40.68515959989177,-73.97711366415024,17609.0,Subscriber,1980.0,2.0
222161,515.0,2016-03-09 18:03:24,2016-03-09 18:12:00,323.0,Lawrence St & Willoughby St,40.69236178,-73.98631746,262.0,Washington Park,40.6917823,-73.97372990000001,17609.0,Subscriber,1955.0,1.0
287273,1315.0,2016-03-06 12:35:00,2016-03-06 12:56:56,358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,530.0,11 Ave & W 59 St,40.771522,-73.99054100000001,17609.0,Subscriber,1981.0,1.0
391319,316.0,2016-03-11 13:12:30,2016-03-11 13:17:46,419.0,Carlton Ave & Park Ave,40.69580705,-73.97355569,324.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,17609.0,Subscriber,1987.0,1.0
616541,701.0,2016-03-06 18:55:10,2016-03-06 19:06:51,499.0,Broadway & W 60 St,40.76915505,-73.98191841,515.0,W 43 St & 10 Ave,40.76009437,-73.99461843,17609.0,Subscriber,1965.0,1.0
662430,1190.0,2016-03-06 23:14:36,2016-03-06 23:34:26,515.0,W 43 St & 10 Ave,40.76009437,-73.99461843,3142.0,1 Ave & E 62 St,40.761227399999996,-73.96094022,17609.0,Subscriber,1984.0,1.0
719222,588.0,2016-03-06 14:38:55,2016-03-06 14:48:44,530.0,11 Ave & W 59 St,40.771522,-73.99054100000001,3163.0,Central Park West & W 68 St,40.7734066,-73.97782542,17609.0,Subscriber,1953.0,1.0
793380,1339.0,2016-03-09 07:21:01,2016-03-09 07:43:20,3080.0,S 4 St & Rodney St,40.709340000000005,-73.95608,323.0,Lawrence St & Willoughby St,40.69236178,-73.98631746,17609.0,Customer,,0.0
822139,4324.0,2016-03-07 17:42:03,2016-03-07 18:54:08,3129.0,Queens Plaza North & Crescent St,40.75110165,-73.94073717,3104.0,KentAve&N7 St,40.72057658,-73.96150225,17609.0,Customer,,0.0
839420,672.0,2016-03-07 07:18:53,2016-03-07 07:30:05,3142.0,1 Ave & E 62 St,40.761227399999996,-73.96094022,3129.0,Queens Plaza North & Crescent St,40.75110165,-73.94073717,17609.0,Subscriber,1954.0,2.0
868420,282.0,2016-03-06 17:16:16,2016-03-06 17:20:58,3163.0,Central Park West & W 68 St,40.7734066,-73.97782542,499.0,Broadway & W 60 St,40.76915505,-73.98191841,17609.0,Subscriber,1982.0,2.0
895674,384.0,2016-03-11 07:19:43,2016-03-11 07:26:08,3222.0,Hanson Pl & St Felix St,40.68515959989177,-73.97711366415024,419.0,Carlton Ave & Park Ave,40.69580705,-73.97355569,17609.0,Subscriber,1963.0,1.0
12343,856.0,2016-03-10 08:38:29,2016-03-10 08:52:46,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,18520.0,Customer,,0.0
31242,1056.0,2016-03-10 15:01:46,2016-03-10 15:19:22,151.0,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,252.0,MacDougal St & Washington Sq,40.73226398,-73.99852205,18520.0,Customer,,0.0
80489,144.0,2016-03-09 17:44:12,2016-03-09 17:46:37,229.0,Great Jones St,40.72743423,-73.99379025,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,18520.0,Subscriber,1969.0,1.0
102689,670.0,2016-03-07 19:40:41,2016-03-07 19:51:51,250.0,Lafayette St & Jersey St,40.72456089,-73.99565293,432.0,E 7 St & Avenue A,40.72621788,-73.98379855,18520.0,Subscriber,1987.0,1.0
103075,223.0,2016-03-10 00:17:34,2016-03-10 00:21:18,250.0,Lafayette St & Jersey St,40.72456089,-73.99565293,473.0,Rivington St & Chrystie St,40.72110063,-73.99192540000001,18520.0,Subscriber,1986.0,1.0
111145,236.0,2016-03-11 08:25:24,2016-03-11 08:29:21,252.0,MacDougal St & Washington Sq,40.73226398,-73.99852205,284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,18520.0,Subscriber,1992.0,2.0
152722,599.0,2016-03-11 08:42:50,2016-03-11 08:52:49,284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,18520.0,Subscriber,1960.0,1.0
165969,331.0,2016-03-09 17:47:00,2016-03-09 17:52:32,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,2003.0,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,18520.0,Subscriber,1982.0,1.0
179364,547.0,2016-03-08 08:51:52,2016-03-08 09:01:00,300.0,Shevchenko Pl & E 7 St,40.728145,-73.990214,346.0,Bank St & Hudson St,40.73652889,-74.00618026,18520.0,Subscriber,1979.0,1.0
215034,459.0,2016-03-12 12:32:30,2016-03-12 12:40:09,317.0,E 6 St & Avenue B,40.72453734,-73.98185424,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,18520.0,Subscriber,1989.0,1.0
227513,893.0,2016-03-11 08:57:17,2016-03-11 09:12:10,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,519.0,Pershing Square North,40.751872999999996,-73.97770600000001,18520.0,Subscriber,1980.0,1.0
230605,440.0,2016-03-08 18:23:45,2016-03-08 18:31:06,327.0,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,377.0,6 Ave & Canal St,40.72243797,-74.00566443,18520.0,Subscriber,1993.0,2.0
263005,418.0,2016-03-08 09:21:58,2016-03-08 09:28:57,346.0,Bank St & Hudson St,40.73652889,-74.00618026,494.0,W 26 St & 8 Ave,40.74734825,-73.99723551,18520.0,Subscriber,1963.0,1.0
269409,282.0,2016-03-07 19:18:03,2016-03-07 19:22:45,348.0,W Broadway & Spring St,40.72490985,-74.00154702,250.0,Lafayette St & Jersey St,40.72456089,-73.99565293,18520.0,Subscriber,1989.0,1.0
300586,943.0,2016-03-09 19:52:27,2016-03-09 20:08:10,362.0,Broadway & W 37 St,40.75172632,-73.98753523,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,18520.0,Subscriber,1986.0,1.0
319937,896.0,2016-03-08 20:08:21,2016-03-08 20:23:17,377.0,6 Ave & Canal St,40.72243797,-74.00566443,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,18520.0,Subscriber,1962.0,2.0
331630,1286.0,2016-03-09 19:11:58,2016-03-09 19:33:25,382.0,University Pl & E 14 St,40.73492695,-73.99200509,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,18520.0,Subscriber,1988.0,1.0
408918,186.0,2016-03-08 08:39:56,2016-03-08 08:43:03,432.0,E 7 St & Avenue A,40.72621788,-73.98379855,300.0,Shevchenko Pl & E 7 St,40.728145,-73.990214,18520.0,Subscriber,1990.0,1.0
